FRN,471 Application Number,BEN,Billed Entity Name,Applicant Type,Applicant Street Address 1,Applicant City,Applicant State,Applicant Zip Code,State LEA Code,State School Code,Fund Year,FRN Committed Amount
1999000179,191000166,143537,LA CANADA UNIF SCHOOL DISTRICT,School District,4490 CORNISHON AVENUE,LA CANADA,CA,"	91011",,,2019,"$24,480.00 "
1999000185,191000166,143537,LA CANADA UNIF SCHOOL DISTRICT,School District,4490 CORNISHON AVENUE,LA CANADA,CA,"	91011",,,2019,"$18,240.00 "
1999000209,191000203,144260,LINCOLN ELEMENTARY SCHOOL DIST,School District,1300 HICKS VALLEY RD,PETALUMA,CA,"	94952",,21 65375 6024392,2019,$784.14 
1999000219,191000231,143932,STONE CORRAL ELEM SCH DISTRICT,School District,15590 AVENUE 383,VISALIA,CA,"	93292",,,2019,"$15,490.98 "
1999000250,191000231,143932,STONE CORRAL ELEM SCH DISTRICT,School District,15590 AVENUE 383,VISALIA,CA,"	93292",,,2019,"$10,800.00 "
1999000306,191000343,16082222,NEW DESIGNS CHARTER SCHOOLS,School District,2303 FIGUEROA WAY,LOS ANGELES,CA,"	90007",,,2019,"$57,571.20 "
1999000309,191000334,143834,VISTA DEL MAR UN ELEM SCH DIST,School District,9467 SAN JULIAN RD,GAVIOTA,CA,"	93117",269344,4269344,2019,"$9,114.00 "
1999000387,191000416,143628,BONSALL UNIFIED SCHOOL DISTRICT,School District,31505 OLD RIVER RD,BONSALL,CA,"	92003",37-76851,0,2019,"$37,766.02 "
1999000406,191000424,144240,DIXIE ELEMENTARY SCHOOL DIST,School District,380 NOVA ALBION WAY,SAN RAFAEL,CA,"	94903",,,2019,"$26,379.12 "
1999000508,191000569,144246,REED UNION ELEM SCH DISTRICT,School District,277 A KAREN WAY,TIBURON,CA,"	94920",,,2019,"$27,306.14 "
1999000575,191000633,144265,ROSS VALLEY ELEM SCHOOL DIST,School District,110 SHAW DRIVE,SAN ANSELMO,CA,"	94960",,,2019,"$22,705.73 "
1999000640,191000695,144261,LAGUNA JOINT ELEM SCH DISTRICT,School District,3286 CHILENO VALLEY RD,PETALUMA,CA,"	94952",,2.16534E+12,2019,"$13,770.72 "
